filename,job title,date,year,role,organisation,location,research software engineer,research software engineering,software developer,software engineer,research engineer,bioinformatician,any_job,not_job,keep_job
COC270,tenured associate professorship in software engineering,16th March 2022,2022,,uppsala university ,uppsala - sweden,False,False,False,True,False,False,True,False,True
CCQ963,software developer,19th November 2020,2020,no_data,sheffield hallam university            ,sheffield,False,False,True,False,False,False,True,False,True
CHV674,bioinformatician,26th July 2021,2021,no_data,university of sheffield            ,sheffield,False,False,False,False,False,True,True,False,True
CPI617,research software engineer (x2),29th April 2022,2022,no_data,london school of hygiene & tropical medicine            ,london,True,False,False,False,False,False,True,False,True
CPB462,digital humanities research software engineer (part time),20th April 2022,2022,no_data,university of cambridge            ,cambridge,True,False,False,False,False,False,True,False,True
CLQ944,software engineer,14th December 2021,2021,no_data,ucl            ,london,False,False,False,True,False,False,True,False,True
CDE442,control systems software engineer,16th December 2020,2020,no_data,uk atomic energy authority ukaea            ,culham,False,False,False,True,False,False,True,False,True
CER600,senior research associate (research software engineer),12th March 2021,2021,no_data,university of bristol            ,bristol,True,False,False,False,False,False,True,False,True
CNE924,postdoctoral bioinformatician computational scientist,14th February 2022,2022,no_data,university of oxford            ,oxford,False,False,False,False,False,True,True,False,True
COQ973,software engineer / web application developer,5th April 2022,2022,ok,diamond light source ,oxford,False,False,False,True,False,False,True,False,True
CPX359,educational software developer,30th May 2022,2022,no_data,university of bath            ,bath,False,False,True,False,False,False,True,False,True
CAD442,research engineer in compound semiconductor optoelectronic devices (ktp associate),22nd May 2020,2020,,cranfield university ,gloucestershire,False,False,False,False,True,False,True,False,True
CCI762,developer/bioinformatician,3rd November 2020,2020,no_data,european molecular biology laboratory (embl),"cambridge, hinxton",False,False,False,False,False,True,True,False,True
CHJ422,research associate - bioinformatician (single cell genomics)(fixed term),8th July 2021,2021,no_data,university of cambridge            ,cambridge,False,False,False,False,False,True,True,False,True
CQQ617,senior research engineer,15th June 2022,2022,no_data,university of sheffield            ,sheffield,False,False,False,False,True,False,True,False,True
CSB204,senior bioinformatician in spatial multi-omics,1st August 2022,2022,ok,wellcome sanger institute,"cambridge, hinxton",False,False,False,False,False,True,True,False,True
CFD500,bioinformatician/computational biologist,1st April 2021,2021,no_data,university of glasgow            ,glasgow,False,False,False,False,False,True,True,False,True
CNB108,senior software developer,8th February 2022,2022,no_data,queen mary university of london            ,london,False,False,True,False,False,False,True,False,True
CFB431,head of research software engineering,30th March 2021,2021,no_data,university of exeter            ,exeter,True,True,False,False,False,False,True,False,True
CEF604,instrumentation software engineer,17th February 2021,2021,no_data,university of southampton            ,southampton,False,False,False,True,False,False,True,False,True
CAE751,research software developer,28th May 2020,2020,no_data,the medicines and healthcare products regulatory agency            ,london,False,False,True,False,False,False,True,False,True
CGP557,senior software engineer team lead,9th June 2021,2021,no_data,university of southampton            ,southampton,False,False,False,True,False,False,True,False,True
CPE640,"bioinformatician, oxford-gsk institute for molecular and computational medicine (imcm)",25th April 2022,2022,no_data,university of oxford            ,oxford,False,False,False,False,False,True,True,False,True
CEC712,bioinformatician/computer scientist in genomics,12th February 2021,2021,no_data,queen mary university of london            ,london,False,False,False,False,False,True,True,False,True
CSE075,project engineer (intelligent vehicles - software developer) (106112-0822),4th August 2022,2022,no_data,university of warwick            ,coventry,False,False,True,False,False,False,True,False,True
CNI124,software developer,17th February 2022,2022,,european molecular biology laboratory (embl) ,heidelberg - germany,False,False,True,False,False,False,True,False,True
CUC869,research engineer/senior research engineer on app development (fixed term),13th October 2022,2022,no_data,university of cambridge            ,cambridge,False,False,False,False,True,False,True,False,True
CAR345,software developer/scientist - crystallography,10th July 2020,2020,,stfc ,didcot,False,False,True,False,False,False,True,False,True
CGO920,research software developer in fetal monitoring,8th June 2021,2021,no_data,university of oxford            ,oxford,False,False,True,False,False,False,True,False,True
CJP578,research software developer/senior research software developer,4th October 2021,2021,no_data,ucl            ,london,False,False,True,False,False,False,True,False,True
CML653,hpc software engineer: cloud-based deployment for on-demand high-performance computing in destination earth,19th January 2022,2022,,european centre for medium,reading,False,False,False,True,False,False,True,False,True
CAD081,covid-19 data portal full stack software engineer,21st May 2020,2020,no_data,european molecular biology laboratory (embl),hinxton,False,False,False,True,False,False,True,False,True
BZP584,bioinformatician (fixed term),27th March 2020,2020,no_data,university of cambridge            ,cambridge,False,False,False,False,False,True,True,False,True
CCN183,manufacturing research engineer,13th November 2020,2020,no_data,university of sheffield            ,sheffield,False,False,False,False,True,False,True,False,True
CGE421,software engineer (103927 - 0521),21st May 2021,2021,no_data,university of warwick            ,coventry,False,False,False,True,False,False,True,False,True
CGP194,research assistant/research associate (software engineer - isaac online education) (fixed term),8th June 2021,2021,no_data,university of cambridge            ,cambridge,False,False,False,True,False,False,True,False,True
CLS220,senior research associate (bioinformatician),15th December 2021,2021,no_data,university of east anglia            ,norwich,False,False,False,False,False,True,True,False,True
CBK456,bioinformatician,3rd September 2020,2020,no_data,university of glasgow            ,glasgow,False,False,False,False,False,True,True,False,True
CIH943,senior bioinformatician/principal bioinformatician,12th August 2021,2021,,wellcome sanger institute,london,False,False,False,False,False,True,True,False,True
CED769,big-data software engineer (ktp associate),15th February 2021,2021,no_data,university of york            ,harrogate,False,False,False,True,False,False,True,False,True
CPK570,"senior research engineer, power electronics/machine design - hybrid/electric propulsion",3rd May 2022,2022,ok,collins aerospace applied research & technology,cork - ireland,False,False,False,False,True,False,True,False,True
COM515,bioinformatician,1st April 2022,2022,no_data,niab,cambridge,False,False,False,False,False,True,True,False,True
CIR827,professor in computer science: software engineering,27th August 2021,2021,,katholieke universiteit leuven ,leuven - belgium,False,False,False,True,False,False,True,False,True
CNI743,senior scientific software engineer: new methods for structural modeling,18th February 2022,2022,,european molecular biology laboratory (embl) ,hamburg - germany,False,False,False,True,False,False,True,False,True
CNL800,industry coordinator for immersive software engineering - specific purpose contract,24th February 2022,2022,,university of limerick ,limerick - ireland,False,False,False,True,False,False,True,False,True
CJQ450,senior manufacturing research engineer (food & drink),5th October 2021,2021,no_data,university of sheffield            ,chester,False,False,False,False,True,False,True,False,True
CNU512,senior ndt research engineer,7th March 2022,2022,no_data,university of sheffield,rotherham,False,False,False,False,True,False,True,False,True
CFL991,principal bioinformatician,20th April 2021,2021,,wellcome sanger institute ,"cambridge, hinxton",False,False,False,False,False,True,True,False,True
BZO192,research software engineer - imaging,24th March 2020,2020,no_data,rosalind franklin institute            ,harwell,True,False,False,False,False,False,True,False,True
CAS255,bioinformatician,14th July 2020,2020,no_data,european molecular biology laboratory (embl),hinxton,False,False,False,False,False,True,True,False,True
COP691,software engineer,4th April 2022,2022,no_data,diamond light source,harwell,False,False,False,True,False,False,True,False,True
CMB734,senior software engineer,6th January 2022,2022,no_data,university of southampton            ,southampton,False,False,False,True,False,False,True,False,True
CMZ932,software engineer,7th February 2022,2022,no_data,university of southampton            ,southampton,False,False,False,True,False,False,True,False,True
CSL561,bioinformatician (training) - alphafold database,15th August 2022,2022,ok,european molecular biology laboratory (embl) ,"cambridge, hinxton",False,False,False,False,False,True,True,False,True
CJU655,senior/principal bioinformatician,12th October 2021,2021,,wellcome sanger institute,"cambridge, hinxton",False,False,False,False,False,True,True,False,True
CNK289,software developer,21st February 2022,2022,no_data,university of cambridge,cambridge,False,False,True,False,False,False,True,False,True
CHG793,bioinformatician/web developer,5th July 2021,2021,no_data,university of glasgow            ,glasgow,False,False,False,False,False,True,True,False,True
CBH611,full stack software developer,26th August 2020,2020,no_data,european molecular biology laboratory (embl)            ,"cambridge, hinxton",False,False,True,False,False,False,True,False,True
CLF357,senior bioinformatician/bioinformatician,29th November 2021,2021,,wellcome sanger institute,"cambridge, hinxton",False,False,False,False,False,True,True,False,True
CIM699,software engineer / researcher: chemical robotics and chemputability,19th August 2021,2021,no_data,university of glasgow            ,glasgow,False,False,False,True,False,False,True,False,True
CIL780,research software engineer,18th August 2021,2021,no_data,university of oxford            ,oxford,True,False,False,False,False,False,True,False,True
CJC961,scientific data software engineer,14th September 2021,2021,,european molecular biology laboratory (embl) ,hinxton,False,False,False,True,False,False,True,False,True
CEZ833,ai software developer in visual misinformation detection (ktp associate),26th March 2021,2021,no_data,university of sheffield            ,brighouse,False,False,True,False,False,False,True,False,True
CII206,senior bioinformatician,12th August 2021,2021,no_data,university of oxford            ,oxford,False,False,False,False,False,True,True,False,True
CDZ867,research software engineer and systems developer hpc (high performance computing) or research software engineer systems developer hpc (trainee),5th February 2021,2021,no_data,university of east anglia            ,norwich,True,False,False,False,False,False,True,False,True
CIP942,research engineer - hardware and software,24th August 2021,2021,no_data,university of sussex            ,falmer,False,False,False,False,True,False,True,False,True
CUC464,molecular biologist/bioinformatician (sd22/107),13th October 2022,2022,no_data,animal and plant health agency            ,new haw,False,False,False,False,False,True,True,False,True
CEY028,bioinformatician,24th March 2021,2021,,european molecular biology laboratory (embl) ,hinxton,False,False,False,False,False,True,True,False,True
CJJ672,bioinformatician,24th September 2021,2021,no_data,the university of edinburgh            ,edinburgh,False,False,False,False,False,True,True,False,True
CPT798,research software engineer,16th May 2022,2022,no_data,university of exeter,exeter,True,False,False,False,False,False,True,False,True
CIC360,software developer,4th August 2021,2021,no_data,regent's university london,london,False,False,True,False,False,False,True,False,True
CEN662,oxford-janssen single cell genomics senior bioinformatician,4th March 2021,2021,no_data,university of oxford            ,oxford,False,False,False,False,False,True,True,False,True
CLT262,research software engineer (418898),16th December 2021,2021,no_data,university of strathclyde            ,glasgow,True,False,False,False,False,False,True,False,True
CNV556,robotics research engineer,8th March 2022,2022,no_data,uk atomic energy authority ukaea            ,abingdon,False,False,False,False,True,False,True,False,True
CAO897,lead software developer,2nd July 2020,2020,no_data,swansea university            ,swansea,False,False,True,False,False,False,True,False,True
CAP672,bioinformatician,6th July 2020,2020,no_data,european molecular biology laboratory (embl),hinxton,False,False,False,False,False,True,True,False,True
CIY490,software engineer and data scientist,7th September 2021,2021,no_data,university of oxford            ,oxford,False,False,False,True,False,False,True,False,True
CCT245,lead software developer in cancer informatics,24th November 2020,2020,no_data,the university of manchester            ,manchester,False,False,True,False,False,False,True,False,True
CGD136,research software engineer in data visualization,20th May 2021,2021,no_data,university of oxford            ,oxford,True,False,False,False,False,False,True,False,True
CNM987,research software engineer,24th February 2022,2022,no_data,university of exeter            ,exeter,True,False,False,False,False,False,True,False,True
CPE825,software engineer,25th April 2022,2022,no_data,university of glasgow            ,glasgow,False,False,False,True,False,False,True,False,True
CAW698,research software engineer,28th July 2020,2020,,plymouth marine laboratory,plymouth,True,False,False,False,False,False,True,False,True
CGM079,software developer,3rd June 2021,2021,,european molecular biology laboratory (embl) ,hinxton,False,False,True,False,False,False,True,False,True
CFF267,senior bioinformatician,7th April 2021,2021,,wellcome sanger institute,cambridge,False,False,False,False,False,True,True,False,True
CQD968,research software engineer - data and text,27th May 2022,2022,no_data,university of oxford            ,oxford,True,False,False,False,False,False,True,False,True
CPX994,bioinformatician,20th May 2022,2022,no_data,the beatson institute for cancer research            ,glasgow,False,False,False,False,False,True,True,False,True
CCH479,research software engineer / senior research software engineer,30th October 2020,2020,no_data,king's college london            ,london,True,False,False,False,False,False,True,False,True
CGC325,research software engineer (340694),19th May 2021,2021,no_data,university of strathclyde            ,glasgow,True,False,False,False,False,False,True,False,True
CTU963,senior bioinformatician,3rd October 2022,2022,no_data,mrc london institute of medical sciences,"london, united kingdom",False,False,False,False,False,True,True,False,True
BZT381,software developer,9th April 2020,2020,no_data,bangor university            ,bangor,False,False,True,False,False,False,True,False,True
CAB118,senior bioinformatician - bacterial genomics,13th May 2020,2020,,wellcome sanger institute,cambridge,False,False,False,False,False,True,True,False,True
CAX849,research engineer in bioinspired vision,30th July 2020,2020,no_data,university of sheffield            ,sheffield,False,False,False,False,True,False,True,False,True
CSZ294,bioinformatician (data integration) - alphafold database,2nd September 2022,2022,ok,european molecular biology laboratory (embl) ,hinxton,False,False,False,False,False,True,True,False,True
CIH918,senior/principal bioinformatician,12th August 2021,2021,,wellcome sanger institute,london,False,False,False,False,False,True,True,False,True
CPE445,software developer,25th April 2022,2022,no_data,imperial college london            ,london,False,False,True,False,False,False,True,False,True
CEY822,software developer (simulation/digital twin) (ktp associate),25th March 2021,2021,no_data,manchester metropolitan university,"manchester, blueskytec ltd",False,False,True,False,False,False,True,False,True
CHT548,research engineer in sensor development,22nd July 2021,2021,no_data,university of southampton            ,southampton,False,False,False,False,True,False,True,False,True
CAD016,sars-cov-2 data hubs user support bioinformatician,21st May 2020,2020,no_data,european molecular biology laboratory (embl),hinxton,False,False,False,False,False,True,True,False,True
CCF346,research software engineer,26th October 2020,2020,no_data,london school of hygiene & tropical medicine            ,london,True,False,False,False,False,False,True,False,True
CDV290,senior bioinformatician,27th January 2021,2021,no_data,public health england,london,False,False,False,False,False,True,True,False,True
COQ319,senior bioinformatician,4th April 2022,2022,ok,wellcome sanger institute,"cambridge, hinxton",False,False,False,False,False,True,True,False,True
CJO150,bioinformatician in the patrick g johnston centre for cancer research,4th October 2021,2021,no_data,queen's university belfast            ,belfast - ireland,False,False,False,False,False,True,True,False,True
CFI618,research software engineer,13th April 2021,2021,no_data,university of oxford            ,oxford,True,False,False,False,False,False,True,False,True
CIE234,principal bioinformatician: haniffa group,6th August 2021,2021,,wellcome sanger institute,hinxton,False,False,False,False,False,True,True,False,True
CGS980,research assistant (ai software engineering & data science) (2 posts),15th June 2021,2021,no_data,university of reading            ,reading,False,False,False,True,False,False,True,False,True
CTJ170,bioinformatician (genetics) band 7,16th September 2022,2022,no_data,birmingham women's nhs foundation trust            ,birmingham,False,False,False,False,False,True,True,False,True
CPK540,"research engineer, software systems",3rd May 2022,2022,ok,collins aerospace applied research & technology,cork - ireland,False,False,False,False,True,False,True,False,True
CFA640,covid-19 bioinformatician,30th March 2021,2021,,european molecular biology laboratory (embl) ,hinxton,False,False,False,False,False,True,True,False,True
CDS381,software engineer - web application developer,20th January 2021,2021,,diamond light source ,didcot,False,False,False,True,False,False,True,False,True
COH254,principal software developer,23rd March 2022,2022,,wellcome sanger institute,"cambridge, hinxton",False,False,True,False,False,False,True,False,True
CDT998,software developer - derby,25th January 2021,2021,no_data,university of sheffield            ,sheffield,False,False,True,False,False,False,True,False,True
CPK578,"senior research engineer, power electronics",3rd May 2022,2022,ok,collins aerospace applied research & technology,cork - ireland,False,False,False,False,True,False,True,False,True
CBE968,research software engineer,18th August 2020,2020,no_data,the university of manchester            ,manchester,True,False,False,False,False,False,True,False,True
CTD442,senior bioinformatician,8th September 2022,2022,no_data,the francis crick institute,london,False,False,False,False,False,True,True,False,True
CRA683,research software engineer (hpc applications specialist),28th June 2022,2022,no_data,stfc ,warrington,True,False,False,False,False,False,True,False,True
CMW842,software developer,2nd February 2022,2022,no_data,imperial college london            ,london,False,False,True,False,False,False,True,False,True
CLO422,bioinformatician,10th December 2021,2021,no_data,animal and plant health agency,weybridge,False,False,False,False,False,True,True,False,True
CTI396,research ai software engineer - specific purpose contract,16th September 2022,2022,ok,university of limerick ,limerick - ireland,False,False,False,True,False,False,True,False,True
CGG979,software engineer,26th May 2021,2021,no_data,stfc ,didcot,False,False,False,True,False,False,True,False,True
CPC175,bioinformatician (fixed term),21st April 2022,2022,no_data,university of cambridge            ,cambridge,False,False,False,False,False,True,True,False,True
CAP242,principal bioinformatician - open targets,3rd July 2020,2020,,wellcome sanger institute,"cambridge, hinxton",False,False,False,False,False,True,True,False,True
CLI525,learning environment software engineer - ktp associate,2nd December 2021,2021,no_data,university of york            ,york,False,False,False,True,False,False,True,False,True
CPR252,principal software developer,12th May 2022,2022,ok,wellcome sanger institute ,"cambridge, hinxton, work from home",False,False,True,False,False,False,True,False,True
CLX054,software engineer (test and quality lead aruk edon project),22nd December 2021,2021,no_data,university of oxford            ,oxford,False,False,False,True,False,False,True,False,True
CMM919,bioinformatician,20th January 2022,2022,no_data,"st george's, university of london            ",london,False,False,False,False,False,True,True,False,True
CQB497,research engineer,25th May 2022,2022,ok,mitsubishi electric r&d centre europe b.v. ,edinburgh,False,False,False,False,True,False,True,False,True
CLD498,senior research software engineer,26th November 2021,2021,no_data,university of oxford            ,oxford,True,False,False,False,False,False,True,False,True
CDZ661,research software engineer - ktp associate,8th February 2021,2021,,queen's university belfast ,belfast,True,False,False,False,False,False,True,False,True
CMT296,research software engineer (machine learning in medical imaging),28th January 2022,2022,no_data,university of oxford            ,oxford,True,False,False,False,False,False,True,False,True
CLO619,senior bioinformatician,10th December 2021,2021,,wellcome sanger institute ,"cambridge, hinxton",False,False,False,False,False,True,True,False,True
BZW753,bioinformatician,30th April 2020,2020,no_data,european molecular biology laboratory (embl)            ,hinxton,False,False,False,False,False,True,True,False,True
CFJ863,lead bioinformatician,15th April 2021,2021,no_data,imperial college london            ,london,False,False,False,False,False,True,True,False,True
CCS201,scientific software developer,23rd November 2020,2020,,animal and plant health agency,weybridge,False,False,True,False,False,False,True,False,True
CAJ926,hpc consultant / research software engineer (fixed term),16th June 2020,2020,no_data,university of cambridge            ,cambridge,True,False,False,False,False,False,True,False,True
CRL991,research software engineer,12th July 2022,2022,no_data,durham university            ,durham,True,False,False,False,False,False,True,False,True
CHI808,research software engineer,7th July 2021,2021,no_data,ucl            ,london,True,False,False,False,False,False,True,False,True
CGQ286,sequencing informatics - software developer,10th June 2021,2021,,wellcome sanger institute ,"cambridge, hinxton",False,False,True,False,False,False,True,False,True
CCQ764,software engineers,19th November 2020,2020,no_data,university of southampton            ,southampton,False,False,False,True,False,False,True,False,True
CFW919,bioinformatician,10th May 2021,2021,,european molecular biology laboratory (embl) ,heidelberg - germany,False,False,False,False,False,True,True,False,True
CMM122,software engineer for data acquisition,19th January 2022,2022,no_data,diamond light source,harwell,False,False,False,True,False,False,True,False,True
CRA010,professor/associate professor in software engineering,no_data,data,no_data,no_data,no_data,False,False,False,True,False,False,True,False,True
CPQ286,software developer,11th May 2022,2022,no_data,the university of manchester            ,manchester,False,False,True,False,False,False,True,False,True
CFX536,senior bioinformatician,11th May 2021,2021,,wellcome sanger institute,"cambridge, hinxton",False,False,False,False,False,True,True,False,True
CSM642,bioinformatician (data integration) - alphafold database,16th August 2022,2022,ok,european molecular biology laboratory (embl),"cambridge, hinxton",False,False,False,False,False,True,True,False,True
CPN004,research software engineer,6th May 2022,2022,no_data,university of reading            ,reading,True,False,False,False,False,False,True,False,True
CDS981,research software engineer,21st January 2021,2021,no_data,university of oxford            ,oxford,True,False,False,False,False,False,True,False,True
CDF748,research data scientist/research software engineer,17th December 2020,2020,no_data,the alan turing institute,london,True,False,False,False,False,False,True,False,True
CGU901,senior software developer,17th June 2021,2021,no_data,ucl            ,london,False,False,True,False,False,False,True,False,True
CJD437,principal research engineer,15th September 2021,2021,,national highways,bristol,False,False,False,False,True,False,True,False,True
CPV926,senior bioinformatician,18th May 2022,2022,ok,european molecular biology laboratory (embl) ,hinxton,False,False,False,False,False,True,True,False,True
CEZ572,research engineer in software engineering for quantum cryptography in networks,26th March 2021,2021,no_data,university of bristol,bristol,False,False,False,True,True,False,True,False,True
CRH024,research software engineer,6th July 2022,2022,no_data,king's college london            ,london,True,False,False,False,False,False,True,False,True
CQT887,educational software developer,20th June 2022,2022,no_data,university of bath            ,"bath, work from home",False,False,True,False,False,False,True,False,True
CJK686,research software engineer - life sciences,29th September 2021,2021,,netherlands escience center,amsterdam - netherlands,True,False,False,False,False,False,True,False,True
CTQ424,junior software developer,27th September 2022,2022,no_data,university of aberdeen            ,aberdeen,False,False,True,False,False,False,True,False,True
CMG932,software engineer manager,12th January 2022,2022,no_data,university of cambridge,cambridge,False,False,False,True,False,False,True,False,True
CTE043,gaia/plato research software engineer (technician),9th September 2022,2022,no_data,university of cambridge            ,cambridge,True,False,False,False,False,False,True,False,True
CLQ890,research software engineer,14th December 2021,2021,no_data,university of leeds            ,leeds,True,False,False,False,False,False,True,False,True
COI003,senior software engineer,24th March 2022,2022,no_data,university of southampton            ,southampton,False,False,False,True,False,False,True,False,True
CIH034,user support bioinformatician - european nucleotide archive team,11th August 2021,2021,,european molecular biology laboratory (embl) ,hinxton,False,False,False,False,False,True,True,False,True
CDP681,research engineer,15th January 2021,2021,no_data,imperial college london            ,london,False,False,False,False,True,False,True,False,True
CTC516,software engineer,7th September 2022,2022,ok,european molecular biology laboratory (embl) ,hinxton,False,False,False,True,False,False,True,False,True
CAK182,postdoc - bioinformatician/-statistician in cancer omics,17th June 2020,2020,no_data,european molecular biology laboratory (embl),baden-württemberg - germany,False,False,False,False,False,True,True,False,True
CLD383,bioinformatician & wgs modeller,26th November 2021,2021,no_data,imperial college london,london,False,False,False,False,False,True,True,False,True
COV888,senior research software engineer,11th April 2022,2022,no_data,university of oxford            ,oxford,True,False,False,False,False,False,True,False,True
CAJ434,research software engineer/scientist,15th June 2020,2020,no_data,stfc ,"didcot, harwell",True,False,False,False,False,False,True,False,True
CCH556,associate professor in software engineering,30th October 2020,2020,no_data,edinburgh napier university,edinburgh,False,False,False,True,False,False,True,False,True
CEQ169,senior bioinformatician,10th March 2021,2021,,wellcome sanger institute ,cambridge,False,False,False,False,False,True,True,False,True
CCN231,bioinformatician,12th November 2020,2020,no_data,royal botanic garden edinburgh,edinburgh,False,False,False,False,False,True,True,False,True
CGY367,computational biologist/bioinformatician,23rd June 2021,2021,no_data,the sainsbury laboratory,norwich,False,False,False,False,False,True,True,False,True
CFO800,data scientist or research engineer - defence and security,26th April 2021,2021,no_data,the alan turing institute            ,cheltenham,False,False,False,False,True,False,True,False,True
CAZ894,software engineer/developer,5th August 2020,2020,no_data,the open university            ,milton keynes,False,False,False,True,False,False,True,False,True
CPB121,research data scientist / research software engineer,20th April 2022,2022,no_data,the alan turing institute,london,True,False,False,False,False,False,True,False,True
CLJ226,senior / principal software developer - human genetics informatics,3rd December 2021,2021,,wellcome sanger institute ,"cambridge, hinxton",False,False,True,False,False,False,True,False,True
CTU621,software engineer,3rd October 2022,2022,no_data,the university of edinburgh            ,edinburgh,False,False,False,True,False,False,True,False,True
CSV929,senior bioinformatician / genomics data scientist (tree of life assembly),30th August 2022,2022,ok,wellcome sanger institute,"cambridge, hinxton",False,False,False,False,False,True,True,False,True
CLQ299,high throughput sequencing bioinformatician,13th December 2021,2021,no_data,university of oxford            ,oxford,False,False,False,False,False,True,True,False,True
CAI874,software engineer - bt ireland innovation centre (btiic) (4 posts),15th June 2020,2020,no_data,ulster university            ,jordanstown,False,False,False,True,False,False,True,False,True
CMI852,research software engineer,14th January 2022,2022,no_data,stfc ,warrington,True,False,False,False,False,False,True,False,True
CID293,full stack software engineer,5th August 2021,2021,,european molecular biology laboratory (embl) ,hinxton,False,False,False,True,False,False,True,False,True
CCJ495,bioinformatician,4th November 2020,2020,no_data,king's college london            ,london,False,False,False,False,False,True,True,False,True
CBE684,research software engineer in distributed and intelligent social computing systems,17th August 2020,2020,no_data,university of leeds            ,leeds,True,False,False,False,False,False,True,False,True
CAG322,research software engineer/scientist and technical architect,3rd June 2020,2020,,stfc ,"didcot, oxford",True,False,False,False,False,False,True,False,True
CQV988,staff research engineer (f/m/x),22nd June 2022,2022,ok,helmholtz zentrum münchen ,neuherbergstraße - germany,False,False,False,False,True,False,True,False,True
CRS253,research software engineer,20th July 2022,2022,no_data,university of exeter,exeter,True,False,False,False,False,False,True,False,True
BZY110,digital research graduate programme (software engineer) (fixed term),29th April 2020,2020,no_data,university of nottingham            ,nottingham,False,False,False,True,False,False,True,False,True
CSB776,junior software developer - cosmic,2nd August 2022,2022,ok,wellcome sanger institute,"cambridge, hinxton",False,False,True,False,False,False,True,False,True
CPA130,research software engineer,19th April 2022,2022,no_data,durham university            ,durham,True,False,False,False,False,False,True,False,True
CME650,digital library software developer,10th January 2022,2022,no_data,the university of edinburgh            ,edinburgh,False,False,True,False,False,False,True,False,True
CAA489,bioinformatician,11th May 2020,2020,no_data,institute of cancer research            ,"london, sutton",False,False,False,False,False,True,True,False,True
CHW012,research software developer: imaging specialist,26th July 2021,2021,no_data,ucl            ,london,False,False,True,False,False,False,True,False,True
CCS183,bioinformatician/molecular biologist,23rd November 2020,2020,,animal and plant health agency,new haw,False,False,False,False,False,True,True,False,True
CAP301,bioinformatician,3rd July 2020,2020,no_data,european molecular biology laboratory (embl),"cambridge, hinxton",False,False,False,False,False,True,True,False,True
CIN557,research associate - bioinformatician (fixed term),20th August 2021,2021,no_data,university of cambridge            ,cambridge,False,False,False,False,False,True,True,False,True
CPD021,software developer / researcher in internet-of-things (iot),22nd April 2022,2022,no_data,liverpool john moores university            ,liverpool,False,False,True,False,False,False,True,False,True
CLX573,research associate/senior research associate (research software engineer),23rd December 2021,2021,no_data,university of bristol            ,bristol,True,False,False,False,False,False,True,False,True
CDY198,bioinformatician,2nd February 2021,2021,no_data,university of cambridge            ,cambridge,False,False,False,False,False,True,True,False,True
CEQ167,research software engineer- cloud computing,10th March 2021,2021,no_data,the james hutton institute,edinburgh,True,False,False,False,False,False,True,False,True
CFF180,software developer,7th April 2021,2021,no_data,university of kent            ,canterbury,False,False,True,False,False,False,True,False,True
